GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
CANO_natural_gas_fired_combined_cycle_1,1996,54.5
CANO_natural_gas_fired_combined_cycle_1,1997,296.8
CANO_natural_gas_fired_combined_cycle_1,2002,45.0
CANO_natural_gas_fired_combined_cycle_1,2003,437.9
CANO_natural_gas_fired_combined_cycle_1,2004,52.2
CANO_natural_gas_fired_combined_cycle_1,2005,147.8
CANO_natural_gas_fired_combined_cycle_1,2006,299.4
CANO_natural_gas_fired_combined_cycle_1,2007,211.0
CANO_natural_gas_fired_combined_cycle_1,2011,46.0
CANO_natural_gas_fired_combined_cycle_1,2012,456.8
CANO_natural_gas_fired_combined_cycle_1,2013,126.1
CANO_natural_gas_fired_combined_cycle_2,2001,1473.0
CANO_natural_gas_fired_combined_cycle_2,2002,1858.6
CANO_natural_gas_fired_combined_cycle_2,2003,1885.0
CANO_natural_gas_fired_combined_cycle_2,2005,596.9
CANO_natural_gas_fired_combined_cycle_2,2006,581.6
CANO_natural_gas_fired_combined_cycle_2,2009,585.8
CANO_natural_gas_fired_combined_cycle_2,2010,668.0
CANO_natural_gas_fired_combined_cycle_2,2013,648.0
CANO_natural_gas_fired_combustion_turbine_1,1989,249.0
CANO_natural_gas_fired_combustion_turbine_1,1996,49.5
CANO_natural_gas_fired_combustion_turbine_1,2001,90.0
CANO_natural_gas_fired_combustion_turbine_1,2002,45.0
CANO_natural_gas_fired_combustion_turbine_1,2006,100.0
CANO_natural_gas_fired_combustion_turbine_1,2009,532.0
CANO_natural_gas_fired_combustion_turbine_1,2012,373.6
CANO_natural_gas_fired_combustion_turbine_1,2013,804.8
CANO_natural_gas_fired_combustion_turbine_2,1973,56.7
CANO_natural_gas_fired_combustion_turbine_2,1980,5.6
CANO_natural_gas_fired_combustion_turbine_2,1981,53.5
CANO_natural_gas_fired_combustion_turbine_2,1982,30.199999999999996
CANO_natural_gas_fired_combustion_turbine_2,1986,342.1
CANO_natural_gas_fired_combustion_turbine_2,1987,36.2
CANO_natural_gas_fired_combustion_turbine_2,1988,107.3
CANO_natural_gas_fired_combustion_turbine_2,1989,227.0
CANO_natural_gas_fired_combustion_turbine_2,1990,122.10000000000001
CANO_natural_gas_fired_combustion_turbine_2,1991,203.0
CANO_natural_gas_fired_combustion_turbine_2,1992,48.0
CANO_natural_gas_fired_combustion_turbine_2,1993,45.0
CANO_natural_gas_fired_combustion_turbine_2,1995,92.7
CANO_natural_gas_fired_combustion_turbine_2,1996,116.9
CANO_natural_gas_fired_combustion_turbine_2,2001,219.7
CANO_natural_gas_fired_combustion_turbine_2,2002,283.0
CANO_natural_gas_fired_combustion_turbine_2,2003,272.3
CANO_natural_gas_fired_combustion_turbine_2,2005,96.0
CANO_natural_gas_fired_combustion_turbine_2,2015,4.4
CANO_natural_gas_fired_combustion_turbine_2,2016,1.8
CANO_natural_gas_fired_combustion_turbine_2,2022,127.19999999999999
CANO_natural_gas_internal_combustion_engine_1,1965,7.699999999999999
CANO_natural_gas_internal_combustion_engine_1,1987,1.4
CANO_natural_gas_internal_combustion_engine_1,1989,1.4
CANO_natural_gas_internal_combustion_engine_1,1990,7.699999999999999
CANO_natural_gas_internal_combustion_engine_1,1997,1.6
CANO_natural_gas_internal_combustion_engine_1,2001,94.39999999999995
CANO_natural_gas_internal_combustion_engine_1,2002,4.4
CANO_natural_gas_internal_combustion_engine_1,2003,1.5
CANO_natural_gas_internal_combustion_engine_1,2004,1.0
CANO_natural_gas_internal_combustion_engine_1,2007,1.0
CANO_natural_gas_internal_combustion_engine_1,2008,4.2
CANO_natural_gas_internal_combustion_engine_1,2010,152.70000000000002
CANO_natural_gas_internal_combustion_engine_1,2011,65.50000000000001
CANO_natural_gas_internal_combustion_engine_1,2020,12.8
CANO_natural_gas_internal_combustion_engine_1,2023,94.80000000000001
CANO_natural_gas_steam_turbine_1,2010,2.9
CANO_onshore_wind_turbine_1,1988,16.0
CANO_onshore_wind_turbine_1,1990,15.5
CANO_onshore_wind_turbine_1,2003,162.0
CANO_onshore_wind_turbine_1,2004,18.0
CANO_onshore_wind_turbine_1,2006,212.0
CANO_onshore_wind_turbine_1,2007,63.0
CANO_onshore_wind_turbine_1,2009,150.0
CANO_onshore_wind_turbine_1,2010,139.0
CANO_onshore_wind_turbine_1,2011,181.7
CANO_onshore_wind_turbine_1,2012,311.7
CANO_onshore_wind_turbine_1,2014,3.6
CANO_onshore_wind_turbine_1,2015,85.9
CANO_onshore_wind_turbine_1,2017,47.9
CANO_onshore_wind_turbine_1,2018,3.6
CANO_onshore_wind_turbine_1,2019,1.8
CANO_onshore_wind_turbine_1,2021,56.2
CANO_onshore_wind_turbine_1,2022,5.6
CANO_petroleum_liquids_1,1978,110.0
CANO_petroleum_liquids_1,1980,53.5
CANO_petroleum_liquids_1,1983,0.9
CANO_petroleum_liquids_1,1992,0.7
CANO_petroleum_liquids_1,2000,7.0
CANO_petroleum_liquids_1,2007,8.0
CANO_petroleum_liquids_1,2010,11.0
CANO_petroleum_liquids_1,2011,44.99999999999999
CANO_petroleum_liquids_1,2014,25.300000000000004
CANO_petroleum_liquids_1,2015,50.5
CANO_petroleum_liquids_1,2017,27.600000000000005
CANO_petroleum_liquids_1,2020,2.2
CANO_small_hydroelectric_1,1902,1.0
CANO_small_hydroelectric_1,1908,5.7
CANO_small_hydroelectric_1,1910,22.0
CANO_small_hydroelectric_1,1916,11.0
CANO_small_hydroelectric_1,1917,19.9
CANO_small_hydroelectric_1,1921,24.0
CANO_small_hydroelectric_1,1924,28.8
CANO_small_hydroelectric_1,1928,11.4
CANO_small_hydroelectric_1,1929,5.8
CANO_small_hydroelectric_1,1930,21.3
CANO_small_hydroelectric_1,1939,4.5
CANO_small_hydroelectric_1,1940,3.0
CANO_small_hydroelectric_1,1942,12.0
CANO_small_hydroelectric_1,1943,22.0
CANO_small_hydroelectric_1,1948,14.5
CANO_small_hydroelectric_1,1954,2.0
CANO_small_hydroelectric_1,1955,16.6
CANO_small_hydroelectric_1,1957,8.5
CANO_small_hydroelectric_1,1958,16.5
CANO_small_hydroelectric_1,1963,28.5
CANO_small_hydroelectric_1,1965,59.8
CANO_small_hydroelectric_1,1966,22.0
CANO_small_hydroelectric_1,1967,9.0
CANO_small_hydroelectric_1,1968,30.0
CANO_small_hydroelectric_1,1979,21.0
CANO_small_hydroelectric_1,1980,24.4
CANO_small_hydroelectric_1,1981,0.9
CANO_small_hydroelectric_1,1982,5.300000000000001
CANO_small_hydroelectric_1,1983,56.900000000000006
CANO_small_hydroelectric_1,1984,2.7
CANO_small_hydroelectric_1,1985,21.5
CANO_small_hydroelectric_1,1986,54.1
CANO_small_hydroelectric_1,1987,22.299999999999997
CANO_small_hydroelectric_1,1988,45.800000000000004
CANO_small_hydroelectric_1,1989,32.99999999999999
CANO_small_hydroelectric_1,1990,16.6
CANO_small_hydroelectric_1,1992,14.5
CANO_small_hydroelectric_1,1993,19.7
CANO_small_hydroelectric_1,2012,6.0
CANO_small_hydroelectric_1,2014,1.5
CANO_small_hydroelectric_1,2018,1.4
CANO_solar_photovoltaic_1,2007,3.8
CANO_solar_photovoltaic_1,2008,4.9
CANO_solar_photovoltaic_1,2009,9.799999999999999
CANO_solar_photovoltaic_1,2010,22.8
CANO_solar_photovoltaic_1,2011,124.10000000000001
CANO_solar_photovoltaic_1,2012,173.6
CANO_solar_photovoltaic_1,2013,620.4
CANO_solar_photovoltaic_1,2014,437.8
CANO_solar_photovoltaic_1,2015,269.30000000000007
CANO_solar_photovoltaic_1,2016,573.9000000000001
CANO_solar_photovoltaic_1,2017,388.90000000000003
CANO_solar_photovoltaic_1,2018,298.70000000000005
CANO_solar_photovoltaic_1,2019,361.4000000000001
CANO_solar_photovoltaic_1,2020,534.8000000000002
CANO_solar_photovoltaic_1,2021,543.9999999999999
CANO_solar_photovoltaic_1,2022,297.5
CANO_solar_photovoltaic_1,2023,610.1
CANO_solar_photovoltaic_1,2024,1050.3000000000002
CASO_batteries_1,2012,1.5
CASO_batteries_1,2014,2.0
CASO_batteries_1,2015,5.5
