GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
CANO_landbasedwind_class3_moderate_15,2050,LandbasedWind_Class3_Moderate,CANO,Wind,1.15028e-07,.,0.233628
CANO_landbasedwind_class3_moderate_16,2030,LandbasedWind_Class3_Moderate,CANO,Wind,1.96361e-05,.,51.3023
CANO_landbasedwind_class3_moderate_16,2040,LandbasedWind_Class3_Moderate,CANO,Wind,1334.04,.,2.84325e+09
CANO_landbasedwind_class3_moderate_16,2050,LandbasedWind_Class3_Moderate,CANO,Wind,2.57394e-07,.,0.496696
CANO_landbasedwind_class3_moderate_17,2030,LandbasedWind_Class3_Moderate,CANO,Wind,7.30883e-06,.,24.0376
CANO_landbasedwind_class3_moderate_17,2040,LandbasedWind_Class3_Moderate,CANO,Wind,4.63242e-06,.,13.0055
CANO_landbasedwind_class3_moderate_17,2050,LandbasedWind_Class3_Moderate,CANO,Wind,1.42722e-05,.,37.1919
CANO_landbasedwind_class3_moderate_18,2030,LandbasedWind_Class3_Moderate,CANO,Wind,8.25915e-06,.,27.2017
CANO_landbasedwind_class3_moderate_18,2040,LandbasedWind_Class3_Moderate,CANO,Wind,7.73459e-06,.,21.751
CANO_landbasedwind_class3_moderate_18,2050,LandbasedWind_Class3_Moderate,CANO,Wind,2.31306e-05,.,60.3841
CANO_landbasedwind_class3_moderate_19,2030,LandbasedWind_Class3_Moderate,CANO,Wind,2.04351e-05,.,60.6035
CANO_landbasedwind_class3_moderate_19,2040,LandbasedWind_Class3_Moderate,CANO,Wind,0.00013211,.,328.203
CANO_landbasedwind_class3_moderate_19,2050,LandbasedWind_Class3_Moderate,CANO,Wind,1299.64,.,2.96671e+09
CANO_landbasedwind_class3_moderate_20,2030,LandbasedWind_Class3_Moderate,CANO,Wind,1.56126e-05,.,48.5562
CANO_landbasedwind_class3_moderate_20,2040,LandbasedWind_Class3_Moderate,CANO,Wind,3.29905e-05,.,86.7224
